exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Bottoms Up,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Feet On Wall Mountain Climber ,Advanced,Abdominals,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Hollow Body Hold,Novice,Abdominals,Bodyweight,Double Arm,Continuous,No Grip,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Dumbbell,Double Arm,Continuous,Crush Grip,Unsorted*
Bar Inverted Hanging Crunch,Expert,Abdominals,Pull Up Bar,No Arms,Continuous,Head Supported,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Bodyweight,No Arms,Continuous,Head Supported,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Bodyweight Supine Leg Raise,Novice,Abdominals,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Miniband Bicycle Crunch,Novice,Abdominals,Miniband,No Arms,Alternating,Head Supported,Unsorted*
Bodyweight Side Plank Reach Through,Novice,Abdominals,Bodyweight,Single Arm,Continuous,Forearm,Calisthenics
Bodyweight Sit Up,Novice,Abdominals,Bodyweight,No Arms,Continuous,Head Supported,Unsorted*
Bodyweight Butterfly Sit Up,Novice,Abdominals,Bodyweight,No Arms,Continuous,Head Supported,Unsorted*
Slider Mountain Climber,Novice,Abdominals,Sliders,Double Arm,Continuous,Flat Palm,Unsorted*
Slider Pike ,Advanced,Abdominals,Sliders,Double Arm,Continuous,Flat Palm,Unsorted*
Stability Ball Pike,Advanced,Abdominals,Stability Ball,Double Arm,Continuous,Flat Palm,Unsorted*
Slider Wide Mountain Climber,Intermediate,Abdominals,Sliders,Double Arm,Continuous,Flat Palm,Unsorted*
Stability Ball Crunch,Beginner,Abdominals,Stability Ball,No Arms,Continuous,Head Supported,Unsorted*
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Stability Ball,No Arms,Continuous,Head Supported,Unsorted*
Stability Ball Kneeling Rollout,Beginner,Abdominals,Stability Ball,Double Arm,Continuous,Forearm,Unsorted*
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Stability Ball,Double Arm,Continuous,Flat Palm,Unsorted*
Stability Ball Single Leg Pike,Expert,Abdominals,Stability Ball,Double Arm,Continuous,Flat Palm,Unsorted*
Double Dumbbell Z Press,Novice,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Dumbbell,Single Arm,Continuous,Neutral,Unsorted*
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Dumbbell Glute Bridge,Beginner,Glutes,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Miniband Side Lying Clamshell,Beginner,Glutes,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Bench Seated Hip Abduction,Beginner,Abductors,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Glute Bridge with Hip Abduction,Beginner,Glutes,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Stability Ball Hip Thrust,Beginner,Glutes,Stability Ball,No Arms,Continuous,No Grip,Bodybuilding
Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Stability Ball,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Frog Pump,Beginner,Glutes,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Dumbbell Frog Pump,Beginner,Glutes,Dumbbell,Double Arm,Continuous,Neutral,Unsorted*
Cable Glute Kickback,Novice,Glutes,Cable,No Arms,Continuous,Hand Assisted,Bodybuilding
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Suspension Feet Elevated Glute Bridge,Novice,Glutes,Suspension Trainer,No Arms,Continuous,No Grip,Bodybuilding
Miniband Thigh Lateral Walk,Beginner,Abductors,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Ankle Lateral Walk,Novice,Abductors,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Feet Lateral Walk,Intermediate,Abductors,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Standing Glute Kickback,Novice,Glutes,Miniband,No Arms,Continuous,Hand Assisted,Bodybuilding
Barbell Hip Thrust,Novice,Glutes,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Single Leg Hip Thrust,Intermediate,Glutes,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Stability Ball,No Arms,Continuous,No Grip,Bodybuilding
Miniband Standing Hip Abduction,Novice,Abductors,Miniband,No Arms,Continuous,Hand Assisted,Bodybuilding
Miniband 3 Way Cha Cha,Beginner,Abductors,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Cable Hip Abduction,Novice,Abductors,Cable,No Arms,Continuous,Hand Assisted,Unsorted*
Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Miniband,No Arms,Continuous,No Grip,Unsorted*
Slider Barbell Overhead Lateral Lunge,Advanced,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Barbell Shrug,Novice,Trapezius,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Cable Face Pull,Novice,Shoulders,Cable,Double Arm,Continuous,Neutral,Unsorted*
Cable Seated Face Pull,Novice,Shoulders,Cable,Double Arm,Continuous,Neutral,Unsorted*
Cable Guillotine Curl,Novice,Biceps,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Cable Supine Bicep Curl,Novice,Biceps,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Cable Straight Bar High Bicep Curl,Novice,Biceps,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Double Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Double Arm,Continuous,Supinated,Bodybuilding
EZ Bar Spider Curl,Novice,Biceps,EZ Bar,Double Arm,Continuous,Supinated,Bodybuilding
Stability Ball Cable Preacher Curl,Novice,Biceps,Stability Ball,Double Arm,Continuous,Supinated,Bodybuilding
Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Dumbbell,Single Arm,Continuous,Supinated,Bodybuilding
EZ Bar Wide Grip Bicep Curl,Novice,Biceps,EZ Bar,Double Arm,Continuous,Supinated,Bodybuilding
Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Cable,Single Arm,Continuous,Supinated,Bodybuilding
EZ Bar Seated Overhead Tricep Extension,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Standing Overhead Tricep Extension,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Thruster,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Bodyweight Diamond Push Up,Novice,Triceps,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
EZ Bar Lying Tricep Extension ,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
Cable Rope Overhead Tricep Extension,Novice,Triceps,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Cable Reverse Grip Tricep Pushdown,Novice,Triceps,Cable,Single Arm,Continuous,Pronated,Bodybuilding
EZ Bar Reverse Grip Bicep Curl,Novice,Forearms,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
Stability Ball Single Arm Dumbbell Chest Press,Novice,Chest,Dumbbell,Single Arm,Continuous,Pronated,Bodybuilding
Suspension Face Pull,Novice,Shoulders,Suspension Trainer,Double Arm,Continuous,Pronated,Unsorted*
Landmine V Grip Row,Novice,Back,Landmine,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Thruster,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Thruster,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Landmine Row,Novice,Back,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Superband Assisted Bar Wide Grip Pull Up,Novice,Back,Superband,Double Arm,Continuous,Pronated,Calisthenics
Stability Ball Prone Cobra,Novice,Back,Stability Ball,Double Arm,Continuous,No Grip,Postural
Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Pendlay Row,Novice,Back,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Cable Straight Bar Pullover,Novice,Back,Cable,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Cable Half Kneeling Lat Pulldown,Novice,Back,Cable,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Cable Half Kneeling Low Row,Novice,Back,Cable,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Suspension Low Row,Novice,Back,Suspension Trainer,Single Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Pendlay Row,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Bench Press,Novice,Chest,Barbell,Double Arm,Continuous,Pronated,Powerlifting
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Cable,No Arms,Continuous,Hand Assisted,Unsorted*
