exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Single Arm Cable Single Leg Romanian Deadlift,Intermediate,Hamstrings,Cable,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Suitcase Cyclist Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Cyclist Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Front Rack Step Up,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Incline Bench Prone Row,Novice,Back,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Single Arm,Continuous,Supinated,Bodybuilding
Double Kettlebell Spider Curl,Novice,Biceps,Kettlebell,Double Arm,Continuous,Supinated,Bodybuilding
Double Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Dumbbell Seated Good Morning,Novice,Back,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Hip Thrust,Beginner,Glutes,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Double Kettlebell Front Rack Box Pistol Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Balance
Alternating Double Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Alternating Double Kettlebell Incline Bench Prone Row,Novice,Back,Kettlebell,Double Arm,Alternating,Neutral,Bodybuilding
Single Arm Kettlebell Incline Bench Prone Row,Novice,Back,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Ring Side Plank Reach Through,Expert,Abdominals,Gymnastic Rings,Single Arm,Continuous,Neutral,Calisthenics
Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Suitcase Step Up,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Step Up,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Step Up,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Step Up,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Step Up,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Overhead Step Up,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Step Up,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Step Up,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Step Up,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Step Up,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Step Up,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Overhead Step Up,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Step Up,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Step Up,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Kettlebell Half Kneeling Low to High Chop,Intermediate,Abdominals,Kettlebell,Double Arm,Continuous,Horn Grip,Unsorted*
Single Arm Kettlebell Windmill,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Grinds
Kettlebell Russian Twist,Novice,Abdominals,Kettlebell,Double Arm,Continuous,Horn Grip,Unsorted*
Alternating Single Arm Kettlebell Plank Pull Through,Intermediate,Abdominals,Kettlebell,Single Arm,Alternating,Pronated,Unsorted*
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Balance
Single Arm Kettlebell Swing,Novice,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Double Kettlebell Suitcase Feet Elevated Calf Raise,Novice,Calves,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Spider Curl,Novice,Biceps,Kettlebell,Single Arm,Continuous,Supinated,Bodybuilding
Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Suitcase Deadlift,Novice,Back,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Clean,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Neutral,Ballistics
Single Arm Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Alternating Single Arm Dumbbell Pendlay Row,Novice,Back,Dumbbell,Single Arm,Alternating,Neutral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Single Arm Kettlebell Snatch,Intermediate,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Kettlebell Sumo Deadlift,Beginner,Back,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Turkish Get Up,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Grinds
Kettlebell Goblet Squat,Beginner,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Unsorted*
Single Arm Kettlebell Overhead Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Double Kettlebell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Bottoms Up Bench Press,Novice,Chest,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Double Kettlebell Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Double Arm,Continuous,Pronated,Unsorted*
Double Kettlebell Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Swing,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Double Kettlebell Front Rack Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Carry,Novice,Abdominals,Kettlebell,Single Arm,Continuous,Neutral,Unsorted*
Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Squat Clean,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Ballistics
Double Kettlebell Prone Row,Novice,Back,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Carry,Intermediate,Abdominals,Kettlebell,Single Arm,Continuous,Bottoms Up,Unsorted*
Double Kettlebell Bottoms Up Front Rack Carry,Intermediate,Abdominals,Kettlebell,Double Arm,Continuous,Bottoms Up,Unsorted*
Double Kettlebell Bottoms Up Overhead Walking Lunge,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Alternating Double Kettlebell Prone Row,Novice,Back,Kettlebell,Double Arm,Alternating,Neutral,Bodybuilding
Double Kettlebell Single Leg Romanian Deadlift ,Intermediate,Hamstrings,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Romanian Deadlift ,Beginner,Hamstrings,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Intermediate,Hamstrings,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Prone Row,Novice,Back,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Parallette Tuck Planche,Advanced,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Macebell Offset Bicep Curl,Novice,Biceps,Macebell,Double Arm,Continuous,Supinated,Bodybuilding
Double Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Parallette L Sit to Tuck Planche,Expert,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Alternating Double Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Landmine Standing Oblique Twist,Intermediate,Abdominals,Landmine,Double Arm,Continuous,Neutral,Unsorted*
Cable Rope Tall Kneeling High to Low Chop,Intermediate,Abdominals,Cable,Double Arm,Continuous,Pronated,Unsorted*
Single Arm Parallette Plank,Intermediate,Abdominals,Parallette Bars,Single Arm,Continuous,Neutral,Calisthenics
Single Arm Suspension Plank,Intermediate,Abdominals,Suspension Trainer,Single Arm,Continuous,Pronated,Unsorted*
Battle Rope Russian Twist,Novice,Abdominals,Battle Ropes,Double Arm,Continuous,Neutral,Unsorted*
Bodyweight Bird Dog Knee to Elbow,Beginner,Abdominals,Bodyweight,Single Arm,Continuous,Flat Palm,Unsorted*
Slam Ball Feet Elevated Russian Twist,Intermediate,Abdominals,Slam Ball,Double Arm,Continuous,Neutral,Unsorted*
Medicine Ball Feet Elevated Russian Twist,Novice,Abdominals,Medicine Ball,Double Arm,Continuous,Neutral,Unsorted*
Alternating Double Dumbbell Prone Row,Novice,Back,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Bodyweight Forearm Plank Alternating Knee to Elbow,Intermediate,Abdominals,Bodyweight,Double Arm,Continuous,Forearm,Calisthenics
Bodyweight Loaded Beast to Alternating Kick Through,Intermediate,Abdominals,Bodyweight,Double Arm,Alternating,Flat Palm,Animal Flow
Single Arm Dumbbell Prone Row,Novice,Back,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Double Kettlebell Clean,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Double Kettlebell Snatch,Intermediate,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Battle Rope Feet Elevated Russian Twist,Intermediate,Abdominals,Battle Ropes,Double Arm,Continuous,Neutral,Unsorted*
Superband Dead Bug,Novice,Abdominals,Superband,Double Arm,Continuous,Pronated,Unsorted*
Parallette V Sit,Expert,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Dumbbell Pendlay Row,Novice,Back,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Split Jerk,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Unsorted*
Double Kettlebell High Pull,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Superband Pallof Press,Beginner,Abdominals,Superband,Double Arm,Continuous,Neutral,Unsorted*
Superband Half Kneeling Pallof Press,Novice,Abdominals,Superband,Double Arm,Continuous,Neutral,Unsorted*
Superband Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Superband,No Arms,Continuous,Hand Assisted,Unsorted*
Macebell Reverse Grip Offset Bicep Curl,Novice,Forearms,Macebell,Double Arm,Continuous,Pronated,Bodybuilding
Ring Archer Row,Novice,Shoulders,Gymnastic Rings,Double Arm,Alternating,Neutral,Unsorted*
Single Arm Landmine Row to Rotational Shoulder Press,Intermediate,Shoulders,Landmine,Single Arm,Continuous,Pronated,Bodybuilding
Bodyweight Hand Assisted Skater Squat,Novice,Quadriceps,Bodyweight,Single Arm,Continuous,Hand Assisted,Calisthenics
Superband Pull Through,Beginner,Glutes,Superband,Double Arm,Continuous,Pronated,Bodybuilding
Miniband Quadruped Hip Extension,Beginner,Glutes,Miniband,No Arms,Continuous,Flat Palm,Bodybuilding
Cable Hip Adduction,Novice,Adductors,Cable,No Arms,Continuous,Hand Assisted,Unsorted*
Superband Tall Kneeling Pallof Press,Novice,Abdominals,Superband,Double Arm,Continuous,Neutral,Unsorted*
Slider Eccentric Hamstring Curl,Beginner,Hamstrings,Sliders,No Arms,Continuous,No Grip,Unsorted*
Landmine Low Hold Lateral Lunge,Novice,Quadriceps,Landmine,Double Arm,Continuous,Neutral,Unsorted*
Double Kettlebell Sumo Deadlift,Beginner,Back,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Slider Kneeling Reach Push Up,Novice,Chest,Sliders,Single Arm,Continuous,Flat Palm,Unsorted*
Slider Parallette Knee Tuck,Novice,Abdominals,Sliders,Double Arm,Continuous,Neutral,Unsorted*
Superband Shoulder Dislocates,Novice,Shoulders,Superband,Double Arm,Continuous,Pronated,Mobility
Superband Alternating Shoulder Dislocates,Novice,Shoulders,Superband,Double Arm,Continuous,Pronated,Mobility
Superband Prone Shoulder Dislocates,Novice,Shoulders,Superband,Double Arm,Continuous,Pronated,Mobility
Ring L Sit,Advanced,Abdominals,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Resistance Band Prone Shoulder Dislocates,Novice,Shoulders,Resistance Band,Double Arm,Continuous,Pronated,Mobility
Resistance Band Alternating Shoulder Dislocates,Novice,Shoulders,Resistance Band,Double Arm,Continuous,Pronated,Mobility
Cable Straight Bar Spider Curl,Novice,Biceps,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Barbell Back Rack Cyclist Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Gravity Boots Inverted Sit Up,Advanced,Abdominals,Bodyweight,No Arms,Continuous,Head Supported,Unsorted*
Double Kettlebell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Back Rack Step Up,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Step Up,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Standing Rollout,Advanced,Abdominals,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Stability Ball Cable Russian Twist,Novice,Abdominals,Stability Ball,Double Arm,Continuous,Neutral,Unsorted*
Miniband Frog Pump,Beginner,Glutes,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Miniband Knee Hover Quadruped Fire Hydrant,Advanced,Glutes,Miniband,Double Arm,Continuous,Flat Palm,Bodybuilding
Bodyweight Fire Hydrant,Beginner,Glutes,Bodyweight,Double Arm,Continuous,Flat Palm,Unsorted*
Bodyweight Knee Hover Quadruped Fire Hydrant,Intermediate,Glutes,Bodyweight,Double Arm,Continuous,Flat Palm,Unsorted*
Dumbbell Crush Grip Spider Curl,Novice,Biceps,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Alternating Double Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Double Arm,Alternating,Supinated,Bodybuilding
Bodyweight Bent Knee Copenhagen Plank Side Raise,Intermediate,Adductors,Bodyweight,Single Arm,Continuous,Forearm,Unsorted*
Bodyweight Kneeling Side Plank,Beginner,Abdominals,Bodyweight,Single Arm,Continuous,Forearm,Calisthenics
Bodyweight Wall Assisted Hip Airplane,Intermediate,Glutes,Bodyweight,Double Arm,Continuous,Hand Assisted,Unsorted*
Superband Single Leg Tibialis Raise,Beginner,Shins,Superband,No Arms,Continuous,No Grip,Unsorted*
Barbell Zercher Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Unsorted*
Barbell Squat Snatch,Expert,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Alternating Double Kettlebell Spider Curl,Novice,Biceps,Kettlebell,Double Arm,Alternating,Supinated,Bodybuilding
Barbell Squat Clean to Split Jerk,Expert,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Slider Kneeling Alternating Reach Push Up,Novice,Chest,Sliders,Double Arm,Alternating,Flat Palm,Unsorted*
Barbell Hang Squat Clean to Thruster,Advanced,Shoulders,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Barbell Squat Clean to Thruster,Advanced,Shoulders,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Bodyweight Copenhagen Plank,Novice,Adductors,Bodyweight,Single Arm,Continuous,Forearm,Unsorted*
Bodyweight Bent Knee Copenhagen Plank,Novice,Adductors,Bodyweight,Single Arm,Continuous,Forearm,Unsorted*
Single Arm Clubbell Inside Pullover,Novice,Back,Clubbell,Single Arm,Continuous,Neutral,Unsorted*
Miniband Single Leg Hip Thrust,Novice,Glutes,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Barbell Deficit Snatch Grip Deadlift,Intermediate,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Clubbell Outside Pullover,Novice,Back,Clubbell,Single Arm,Continuous,Neutral,Unsorted*
Bodyweight Hand Assisted Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Bodyweight,Single Arm,Continuous,Hand Assisted,Bodybuilding
Bodyweight Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Double Kettlebell Thruster,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Cossack Squat Thruster,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Alternating Cossack Squat Thruster,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Landmine Shrug,Novice,Trapezius,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Overhead Walking Lunge,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Plate Seated Steering Wheel,Novice,Shoulders,Weight Plate,Double Arm,Continuous,Neutral,Unsorted*
Parallette L Sit to Handstand,Expert,Shoulders,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Ring Straddle L Sit,Expert,Abdominals,Gymnastic Rings,Double Arm,Continuous,Supinated,Calisthenics
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Double Kettlebell Half Kneeling Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Double Kettlebell Bottoms Up Seesaw Bench Press,Novice,Chest,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Seesaw Incline Bench Press,Novice,Chest,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Seesaw Decline Bench Press,Novice,Chest,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Seesaw Floor Press,Novice,Chest,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Double Dumbbell Tall Kneeling Seesaw Overhead Press,Novice,Shoulders,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Double Dumbbell Half Kneeling Seesaw Overhead Press,Novice,Shoulders,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Double Dumbbell Seesaw Z Press,Novice,Shoulders,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Stability Ball Sit Up,Beginner,Abdominals,Stability Ball,No Arms,Continuous,Head Supported,Unsorted*
EZ Bar Wide Grip Strict Bicep Curl,Novice,Biceps,EZ Bar,Double Arm,Continuous,Supinated,Bodybuilding
Double Kettlebell Squat Clean,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Ballistics
Double Kettlebell Hollow Body Hold,Intermediate,Abdominals,Kettlebell,Double Arm,Continuous,Pronated,Unsorted*
Alternating Double Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Bodyweight Side Lying Hip Adduction,Beginner,Adductors,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Superband Hollow Body Hold,Intermediate,Abdominals,Superband,Double Arm,Continuous,Pronated,Unsorted*
Parallette Freestanding Handstand Push Up,Master,Shoulders,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Slider Single Leg Eccentric Hamstring Curl ,Intermediate,Hamstrings,Sliders,No Arms,Continuous,No Grip,Unsorted*
Bodyweight Freestanding Handstand Push Up,Master,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Single Arm Ring Grip Push Up,Master,Chest,Gymnastic Rings,Single Arm,Continuous,Neutral,Calisthenics
Superband Side Plank Hanging Adduction,Intermediate,Adductors,Superband,Single Arm,Continuous,Flat Palm,Unsorted*
Ring Strap Bulgarian Handstand Push Up,Master,Shoulders,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Ring Freestanding Handstand Push Up,Master,Shoulders,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Stability Ball Feet Elevated Frog Pump,Novice,Glutes,Stability Ball,No Arms,Continuous,No Grip,Unsorted*
Stability Ball Miniband Feet Elevated Frog Pump,Novice,Glutes,Stability Ball,No Arms,Continuous,No Grip,Bodybuilding
Double Kettlebell Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Kettlebell,Double Arm,Continuous,Pronated,Unsorted*
Barbell Overhead Cyclist Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Cyclist Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Bodyweight Bent Arm Press Handstand,Master,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Barbell Cyclist Thruster,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Parallette L Sit to Bent Arm Press Handstand,Master,Shoulders,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Alternating Single Arm Landmine Thruster,Intermediate,Quadriceps,Landmine,Single Arm,Alternating,Neutral,Bodybuilding
Single Arm Dumbbell Cyclist Thruster,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Alternating Single Arm Landmine Cyclist Thruster,Intermediate,Quadriceps,Landmine,Single Arm,Alternating,Neutral,Bodybuilding
Barbell Low Bar Cyclist Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Front Rack Split Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Overhead Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Bodyweight Chest Roll to Straight Body Press Handstand,Master,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Single Arm Kettlebell Overhead Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Dead Clean to Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Single Arm,Continuous,Neutral,Ballistics
Ring Bent Arm Bent Body Press Handstand,Master,Shoulders,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Kettlebell Sumo Deadlift,Novice,Back,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Ring Dip to Handstand,Master,Triceps,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Ring Handstand to Elbow Lever to Handstand,Master,Shoulders,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Ring Dip Straight Body Press to Handstand,Master,Shoulders,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Kettlebell Contralateral Split Squat Thruster,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Split Squat Thruster,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Kettlebell Swing,Novice,Glutes,Kettlebell,Double Arm,Continuous,Pronated,Ballistics
Alternating Single Arm Kettlebell Swing,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Pronated,Ballistics
Alternating Single Arm Kettlebell Clean,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Neutral,Ballistics
Alternating Single Arm Kettlebell Snatch,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Pronated,Ballistics
Ring Straight Arm L Sit Straddle Press Handstand,Master,Shoulders,Gymnastic Rings,Double Arm,Continuous,Supinated,Calisthenics
Single Arm Kettlebell Bottoms Up Overhead Contralateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Staggered Stance Swing,Intermediate,Glutes,Kettlebell,Single Arm,Continuous,Pronated,Ballistics
Alternating Single Arm Kettlebell Alternating Staggered Stance Swing,Intermediate,Glutes,Kettlebell,Single Arm,Alternating,Pronated,Ballistics
